Podaj płeć,Podaj swój wiek,Wykształcenie,Podaj wielkość swojego miasta/gminy,Ogólny staż zatrudnienia w pełnych latach,Dobra atmosfera w pracy jest dla mnie bardzo istotna,Wysokie wynagrodzenie stanowi cel główny pracy zarobkowej!,Czy zamierzasz w przeciągu roku zmienić pracodawcę?,"Uważam, że płacą mi odpowiednio za pracę,  którą wykonuję.",W mojej firmie są małe szanse na awans w pracy.,Mój kierownik jest w pełni kompetentny do wykonywania swojej pracy.,"Nie jestem zadowolony ze świadczeń, które otrzymuję.","Gdy dobrze wykonuję pracę, jestem odpowiednio doceniany.",Wiele naszych reguł i procedur utrudnia dobre wykonywanie pracy.,"Lubię ludzi, z którymi pracuję.","Czasami myślę, ze moja praca jest bez sensu.",Komunikacja w mojej firmie wydaje się dobra.,Podwyżki zdarzają się zbyt rzadko.,"Ten, kto dobrze wykonuje swoją pracę ma u nas spore szanse na awans.",Mój kierownik jest wobec mnie niesprawiedliwy.,"Świadczenia, które otrzymuję są porównywalne z tymi, które oferuje większość innych firm.","Uważam, że moja praca jest niedoceniana.",Biurokracja rzadko przeszkadza mi w efektywnym wykonywaniu pracy.,"Uważam, że muszę pracować ciężej z powodu niekompetencji osób, z którymi pracuję.","Lubię rzeczy, którymi się zajmuję w swojej pracy.","Cele firmy, dla której pracuję, są dla mnie niejasne.","Gdy myślę o swoim wynagrodzeniu, czuję się niedoceniany.","Ludzie awansują w mojej firmie tak samo szybko, jak w innych firmach.",Mój kierownik za mało interesuje się odczuciami podwładnych.,"Pakiet świadczeń, które otrzymujemy, jest słuszny.","Jest mało nagród dla tych, którzy tu pracują.",Mam za dużo zadań do wykonania w pracy.,Lubię spędzać czas ze swoimi współpracownikami.,"Często mam odczucie, że nie wiem, co się dzieje w mojej firmie.",Jestem dumny ze swojej pracy.,Jestem usatysfakcjonowany perspektywą wzrostu zarobków w przyszłości.,"Są dodatkowe świadczenia, których nie otrzymuję, a uważam, że powinienem.",Lubię swojego kierownika.,Mam za dużo papierkowej roboty.,"Uważam, że moje wysiłki nie są nagradzane w sposób, w jaki być powinny.",Jestem zadowolony z możliwości awansu.,Moja praca jest przyjemna.,Przydzielane zadania nie są w pełni wyjaśniane.,Wynagrodzenie
0,51,5,5,25,6,4,0,6.0,2.0,6.0,3.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,4000
0,45,5,5,18,6,5,0,2.0,1.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0,6.0,1.0,3.0,4.0,5.0,3.0,2.0,5.0,1.0,5.0,2.0,5.0,2.0,6.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,1.0,5.0,4.0,4000
0,57,5,5,20,4,4,0,2.0,4.0,5.0,3.0,4.0,1.0,5.0,1.0,4.0,5.0,2.0,2.0,5.0,1.0,6.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,5.0,1.0,6.0,5.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,6000
0,49,5,1,28,6,6,1,2.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,6.0,3.0,4.0,2.0,6.0,2.0,6.0,5.0,2.0,6.0,2.0,5.0,2.0,5.0,6.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,6.0,3.0,5.0,5.0,6000
0,23,5,5,2,6,6,1,3.0,5.0,3.0,6.0,4.0,5.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,4.0,5.0,6.0,4.0,3.0,5.0,1.0,6.0,1.0,6.0,3.0,4.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,4.0,5.0,4000
1,33,5,5,10,6,5,0,6.0,1.0,5.0,2.0,5.0,2.0,6.0,2.0,5.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,3.0,6.0,5.0,2.0,2.0,5.0,3.0,6.0,6.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,12000
0,25,5,3,5,6,5,0,6.0,4.0,6.0,1.0,5.0,4.0,5.0,1.0,5.0,2.0,3.0,1.0,6.0,2.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,6.0,3.0,3.0,5.0,2.0,6.0,6.0,1.0,6.0,5.0,2.0,4.0,6.0,2.0,8000
1,25,4,1,5,5,6,0,6.0,4.0,5.0,1.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,6.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,12000
0,21,4,3,2,5,6,0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,1.0,6.0,2.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,5.0,2.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,6.0,2.0,3.0,1.0,6.0,5.0,5.0,5.0,4000
0,21,4,1,3,6,6,0,6.0,1.0,6.0,2.0,6.0,2.0,5.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,12000
0,24,4,5,5,6,4,0,1.0,3.0,6.0,2.0,6.0,1.0,5.0,2.0,6.0,2.0,6.0,2.0,5.0,3.0,6.0,4.0,6.0,1.0,5.0,6.0,1.0,5.0,2.0,2.0,5.0,1.0,4.0,5.0,1.0,6.0,1.0,4.0,4.0,6.0,1.0,6000
0,27,4,5,9,5,6,0,6.0,1.0,4.0,2.0,6.0,2.0,4.0,1.0,4.0,4.0,6.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,2.0,1.0,6.0,6.0,1.0,8000
0,23,5,5,3,6,4,1,1.0,5.0,1.0,6.0,2.0,5.0,4.0,2.0,1.0,6.0,2.0,5.0,4.0,5.0,6.0,1.0,5.0,2.0,4.0,1.0,6.0,1.0,6.0,6.0,4.0,3.0,6.0,1.0,6.0,1.0,4.0,6.0,1.0,3.0,4.0,4000
0,23,4,5,4,6,5,0,1.0,4.0,4.0,3.0,1.0,4.0,6.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,6.0,4.0,6.0,5.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,5.0,6000
0,30,4,2,7,6,6,1,2.0,6.0,2.0,6.0,1.0,2.0,5.0,3.0,4.0,6.0,1.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,6.0,1.0,5.0,1.0,6.0,4.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,2.0,1.0,4000
1,46,5,3,22,6,6,0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,6.0,6000
1,25,5,4,3,5,5,0,6.0,3.0,5.0,1.0,6.0,4.0,6.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,6.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,8000
0,32,5,5,12,6,4,0,5.0,3.0,6.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,6.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,4000
